"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112267874",160.349245944498,1.33820885188886,0.139994641571203,9.55900052223233,1.18899376406134e-21,3.6835719428347e-20
"401934",435.639547984399,1.49270886760918,0.114961258998252,12.9844512892111,1.49908675926953e-38,1.26837503567438e-36
"116362",24.8591740691845,1.5344079095097,0.207700281980414,7.38760628959762,1.49495619057683e-13,2.46623607303654e-12
"9249",386.735787965145,-1.36072276658075,0.12464341730407,-10.9169244233833,9.5681123729476e-28,4.51845509671312e-26
"51032",1.14457212643647,-2.40672223266148,1.01178629822927,-2.37868632622669,0.017374453600165,0.0488106112522808
"51702",91.0388269618306,1.04791616240138,0.126909639831688,8.2571833297389,1.49150248968156e-16,3.15788541346132e-15
"81569",6.51470375710416,3.23774274878362,0.521325416801431,6.2105983027811,5.27832444257396e-10,6.07116030246007e-09
"127707",38.1878829622329,-1.10233079135276,0.168144531435859,-6.5558527651151,5.53247972371329e-11,7.13916808715099e-10
"3362",5.67431686767589,1.4765912957231,0.44647579539649,3.30721465967001,0.00094228654952974,0.00387478914890387
"64600",6.56837850284892,-1.51449021095246,0.430602789820474,-3.51713980205256,0.000436223960825023,0.0019387056531931
"105376826",2.96218422089823,-1.78417668269471,0.657184456072145,-2.71487961440592,0.00662998664283747,0.021453572597575
"2046",6.10235546376954,1.32042857220113,0.402607912558371,3.27968857792803,0.00103921731450188,0.00423054440569136
"1870",608.330257326527,1.13184910612531,0.0587020639113873,19.2812489154363,7.71901236869884e-83,2.39471637888369e-80
"101928163",7.73838859807373,1.30231510247946,0.361091760553622,3.60660431709315,0.000310230173904517,0.00142731439639654
"105376864",1.23435998295427,3.0671221713821,1.06471120787359,2.88070807248069,0.00396782957204676,0.0137487736459614
"57822",633.579878373387,-1.88664062652729,0.0912628812849124,-20.6725954732616,6.11384158597288e-95,2.67774273540934e-92
"400746",11.9337959910537,-1.53205548636669,0.321615496804561,-4.76362458149113,1.90146123368312e-06,1.31744840775326e-05
"84676",3.71358174934484,-1.91158286506686,0.595865298820311,-3.20807885414942,0.00133624855583194,0.005298736728496
"55057",85.8946489938872,-1.15041488892214,0.190081413843665,-6.05222186461804,1.42861523161208e-09,1.55967636503026e-08
"6080",38.5678709035997,1.90879114625086,0.490627348517537,3.89051110179325,0.000100033299922345,0.000508174623690113
"26768",31.7954798943477,1.78727638424714,0.495568576778913,3.60651677284311,0.000310334807933978,0.00142750177199779
"692212",5.64194385751172,1.02291048539532,0.420712002250482,2.43137937573339,0.0150414558360196,0.0432965204908725
"677838",13.0760482102022,1.02734450088943,0.295166486063468,3.48055944491111,0.000500367775223005,0.00219151274414829
"79570",145.719491357565,1.64455699628683,0.117723384111746,13.9696714352501,2.38725436776223e-44,2.62680299569975e-42
"105378626",2.4263659435362,-1.93163538797434,0.743191991344495,-2.59910683978154,0.00934666777415451,0.028812657752041
"64129",3.75528496465597,-1.43443381885097,0.534406280827192,-2.68416347321116,0.00727115436273677,0.0232188384561045
"63967",1178.80375963772,1.29154975689366,0.0885575630495107,14.5842965007018,3.5354766635841e-48,4.64540836673401e-46
"2899",329.373907824596,2.56293523616808,0.110843285585815,23.1221514467276,2.77223260645026e-118,1.99752773323482e-115
"284654",23.8799611472218,3.16474689679148,0.307907115698972,10.2782518994641,8.83148369622434e-25,3.39533306923516e-23
"5453",3.4628320331741,1.57317753326008,0.575552562363007,2.73333425326297,0.00626966700831367,0.0204446061262339
"105378662",5.63608563538102,-1.01457395956238,0.414832911073613,-2.4457412429901,0.0144554704600196,0.0418633273260026
"677834",4.24917394831746,1.4583454883022,0.550689396086272,2.64821784960198,0.0080917363004564,0.025471408362922
"9132",52.6070576899243,1.12904543832948,0.1768739896952,6.38333222581297,1.73275418854917e-10,2.10594992328409e-09
"1503",2074.42721205329,1.40111451780097,0.0579684038764404,24.1703138969885,4.56682883913788e-129,4.08037023119291e-126
"105378678",37.2096771219652,-1.01626185798344,0.178999979208867,-5.67744120683732,1.36724496234581e-08,1.29737258810188e-07
"1907",26.5023455259758,-1.00020103042786,0.245392866517721,-4.07591730200368,4.58333067635498e-05,0.00024933720730088
"2980",1.748138574014,2.07813395678565,0.789145618866466,2.63339731869854,0.00845353923806335,0.0264347231317607
"10103",199.777351062708,-1.02715552635625,0.0989072972487776,-10.385032802713,2.90069589996786e-25,1.16743863635283e-23
"541468",7.09428050148022,-1.10337244796969,0.381322963752843,-2.89353790055205,0.00380928314836767,0.0132597721186051
"8438",903.207012774551,1.25583929451274,0.0573487520484733,21.8982846122136,2.69746145226987e-106,1.43459991569886e-103
"1580",101.78993901757,-1.18780527499489,0.121471133753276,-9.7784983007361,1.39261375524281e-22,4.61221352211369e-21
"163720",26.6463175842244,-1.1040844080645,0.199056662367961,-5.54658354525996,2.91305467010522e-08,2.65695803046714e-07
"105378717",2.76713421933211,1.43003624776075,0.596339049970126,2.39802549880373,0.0164837177171337,0.0467432782337967
"4998",698.680751002683,1.33768605410351,0.0662008274652837,20.2064854069235,8.58475450241014e-91,3.30616657448854e-88
"105378731",3.64993139777875,1.45566691319121,0.534168209616418,2.72510959466591,0.00642801462702121,0.0208725923424586
"1733",9.40832447754039,-1.38112907786253,0.343664074143647,-4.01883461721762,5.84867039855948e-05,0.000311496782767341
"199920",5.27242518364557,2.45529778601153,0.526894801613515,4.65993928672791,3.16302666795811e-06,2.10526003224613e-05
"100131060",35.3929821057896,-1.13657251286972,0.179007170862402,-6.34931275319344,2.16278936757687e-10,2.59732398406261e-09
