"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000027546.15",279.528623994221,-2.06148902624731,0.583909861169582,-3.53049188468594,0.000414787739837682,0.0105225100316717
"ENSMUSG00000028364.15",15.3539850786898,4.08132936580579,0.929249017251973,4.39207283519689,1.12275070982745e-05,0.000416281417028332
"ENSMUSG00000037742.14",43.1657787532633,1.79464022332913,0.547755375933079,3.27635346393824,0.00105156865247009,0.0211190037704409
"ENSMUSG00000064343.1",1450.13500939442,-1.74084907581486,0.407163731596422,-4.27555044991182,1.90665616968055e-05,0.000656434481275734
"ENSMUSG00000064365.1",1808.75509457378,-1.56319782101485,0.452482284373634,-3.45471607397573,0.000550872606457384,0.0126438379196409
"ENSMUSG00000064452.1",27.2253751362673,-7.28323578521337,1.60455280572446,-4.53910632247778,5.64931469081947e-06,0.000226914140081249
"ENSMUSG00000064487.1",11.5014934050153,-3.27094778956218,1.04633988937725,-3.12608534069074,0.00177150135303858,0.0316245797097999
"ENSMUSG00000064545.1",437.580953803539,-7.03444230836691,1.11130098064313,-6.32991640509123,2.45294055835297e-10,1.97052891521022e-08
"ENSMUSG00000064720.1",328.791590922629,-9.72686864548294,1.52580437934058,-6.37491199867097,1.83068039285764e-10,1.76477589871477e-08
"ENSMUSG00000064726.1",233.842849322865,-8.49515782939671,1.54707640174168,-5.49110426597739,3.99428450657664e-08,2.54878656429563e-06
"ENSMUSG00000064945.1",1034.03373788961,1.0255487385731,0.286912972083484,3.57442443653154,0.000350999159462457,0.00939897749227245
"ENSMUSG00000065022.1",484.361974173071,-6.01417567005227,0.663693728533803,-9.06167319576526,1.28464590451955e-19,2.06399775326141e-17
"ENSMUSG00000065456.1",19.3503938001947,-5.56989880264954,1.6523234937054,-3.370949347309,0.000749096297846761,0.0164120188891881
"ENSMUSG00000065749.1",355.668632014359,-6.10432857230918,0.523275894465268,-11.665602480212,1.91045880550114e-31,4.60420572125776e-29
"ENSMUSG00000070076.2",12.4519516139675,-6.19586869587196,1.61541901656079,-3.83545608436806,0.000125331500254381,0.00377561144516324
"ENSMUSG00000070101.1",36.7451137067885,-7.91231982712478,1.53715434417132,-5.14738149563653,2.6414777118598e-07,1.15744750646948e-05
"ENSMUSG00000070348.5",13.2230604298682,2.96717707591858,0.990481284205882,2.99569221875556,0.00273822660238895,0.0450280002906278
"ENSMUSG00000076041.1",9.79322035313709,-5.18029871149777,1.70469645082069,-3.03883938340097,0.00237491435418891,0.0408824542399662
"ENSMUSG00000076052.1",10.8293389500395,-5.80789301040076,1.67662831542182,-3.46403132821931,0.000532144532585418,0.0126438379196409
"ENSMUSG00000076252.1",78.4928448194531,-9.51603979840562,1.75957391376483,-5.40815007767697,6.36790554558705e-08,3.06933047297296e-06
"ENSMUSG00000077167.1",115.293380323342,-1.14110626151277,0.381819458431337,-2.98860164487395,0.00280257263219675,0.0450280002906278
"ENSMUSG00000077549.1",1456.29658984864,-1.12050843513041,0.305940492751757,-3.66250451207712,0.000249761352037449,0.00708146892247355
"ENSMUSG00000078035.1",537.493481702068,-8.23032407462907,1.50162215662173,-5.48095540435101,4.23035114405913e-08,2.54878656429563e-06
"ENSMUSG00000078041.1",270.142705372776,-6.27590661935241,1.87268751138776,-3.351283426193,0.000804379295950085,0.0168569922020844
"ENSMUSG00000084487.1",255.747071917803,-7.65611505636306,1.15115643120488,-6.6508033563689,2.91497526780349e-11,3.51254519770321e-09
"ENSMUSG00000089317.1",99.993270954955,-4.32972814612367,0.798139791704271,-5.42477419510483,5.80278495653054e-08,3.06933047297296e-06
"ENSMUSG00000094405.1",184.319453277615,-1.43847279994052,0.456862463119928,-3.1485904753854,0.0016405992882682,0.0304141868055875
"ENSMUSG00000097391.8",16.8482522489427,-5.72398672705061,1.77956752827893,-3.2165043675451,0.00129762558475514,0.0250182212740792
"ENSMUSG00000097451.11",714.522915517335,-5.31309674085408,0.455033564794687,-11.6762743496766,1.68521180415914e-31,4.60420572125776e-29
"ENSMUSG00000105849.1",11.4792335309005,-6.47738843488537,1.61433631654133,-4.01241573302582,6.01005358958796e-05,0.00193123055345427
