"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000064545.1",437.580953803539,-4.15738972772555,0.910820967759093,-4.56444227228765,5.00823983255954e-06,0.00100227399649098
"ENSMUSG00000064720.1",328.791590922629,-4.46995663248341,0.693328030352684,-6.44710214616538,1.14008953909949e-10,4.56320838024571e-08
"ENSMUSG00000064726.1",233.842849322865,-3.77714412347929,0.807406172173421,-4.67812143832362,2.89515075496993e-06,0.000662162336958124
"ENSMUSG00000064901.1",344.063572195908,2.68978957171992,0.631255324306948,4.26101684714188,2.03498890600716e-05,0.00325801723851747
"ENSMUSG00000065022.1",484.361974173071,-3.43605541065033,0.596759813367271,-5.75785321612406,8.51903805973806e-09,2.72779598672813e-06
"ENSMUSG00000065565.1",81.0661026031923,2.11517567217649,0.549783974777125,3.84728505961629,0.000119433978383601,0.0159344832826787
"ENSMUSG00000065749.1",355.668632014359,-3.02151592884778,0.409858211652868,-7.37210050437363,1.67960311507331e-13,1.34452229361619e-10
"ENSMUSG00000070101.1",36.7451137067885,-5.80492499467339,1.50173549381983,-3.86547765472862,0.000110872000063565,0.0159344832826787
"ENSMUSG00000076252.1",78.4928448194531,-7.42494089890836,1.73225876385545,-4.2862770007772,1.81692411408509e-05,0.00323210611850026
"ENSMUSG00000078035.1",537.493481702068,-7.56665723153369,1.50162215662173,-5.03898880165486,4.67997863457629e-07,0.000124877429899277
"ENSMUSG00000084487.1",255.747071917803,-4.30807888592257,0.668112380523887,-6.44813509150135,1.13234813774295e-10,4.56320838024571e-08
"ENSMUSG00000097451.11",714.522915517335,-3.32359460876842,0.411586350821846,-8.07508461379232,6.74298712029632e-16,1.07955223795944e-12
"ENSMUSG00000105849.1",11.4792335309005,-5.81372169300597,1.61433631654133,-3.60130762929358,0.000316620659724392,0.0367689526657325
"ENSMUSG00000114456.1",40.1938194085917,3.64275947946502,1.01263479284996,3.59730823509713,0.000321527381211902,0.0367689526657325
